source,target,weight
213624,936693,1.0
213626,936693,1.0
213642,936693,1.0
582893,936693,1.0
680152,936693,1.0
907967,936693,1.0
921558,936693,1.0
933457,936693,1.0
900087600,936693,1.0
278,900087600,1.0
26008,900087600,1.0
26220,900087600,1.0
26768,900087600,1.0
907970,900087600,1.0
908786,900087600,1.0
919137,900087600,1.0
545597,933457,1.0
538923,933457,1.0
500057,933457,1.0
500056,933442,1.0
213625,932812,1.0
213627,932812,1.0
213628,932812,1.0
213629,932812,1.0
545602,932812,1.0
606214,932812,1.0
680152,932812,1.0
907967,932812,1.0
908786,932812,1.0
911753,932812,1.0
26008,933442,1.0
26768,933442,1.0
110187,933442,1.0
213631,933442,1.0
500057,933442,1.0
500056,933457,1.0
545597,933442,1.0
545598,933442,1.0
587317,933442,1.0
606214,933442,1.0
904144,933442,1.0
907970,933442,1.0
908786,933442,1.0
936693,933442,1.0
1325,933457,1.0
26002,933457,1.0
30534,933457,1.0
48375,933457,1.0
213629,933457,1.0
213630,933457,1.0
606214,915640,1.0
545597,915640,1.0
30534,680152,1.0
545598,907967,1.0
919137,907967,1.0
918537,907967,1.0
912509,907967,1.0
904144,907967,1.0
680152,907967,1.0
606214,907967,1.0
151815,907967,1.0
911753,904144,1.0
48375,907967,1.0
26002,907967,1.0
1325,907967,1.0
457,907967,1.0
278,907967,1.0
936693,904144,1.0
933457,907967,1.0
1325,907969,1.0
13544,907969,1.0
26002,907969,1.0
26076,907969,1.0
26768,907969,1.0
30534,907969,1.0
110187,907969,1.0
151815,907969,1.0
151828,907969,1.0
213624,907969,1.0
213631,907969,1.0
545602,907969,1.0
680152,907969,1.0
904144,907969,1.0
907970,907969,1.0
908786,907969,1.0
921558,904144,1.0
907970,904144,1.0
500057,915640,1.0
500056,680152,1.0
912509,680152,1.0
908786,680152,1.0
907970,680152,1.0
606214,680152,1.0
587317,680152,1.0
582893,680152,1.0
213642,680152,1.0
606214,904144,1.0
213636,680152,1.0
213631,680152,1.0
213630,680152,1.0
213629,680152,1.0
151828,680152,1.0
151815,680152,1.0
915640,680152,1.0
933442,680152,1.0
13544,904144,1.0
16920,904144,1.0
26002,904144,1.0
30534,904144,1.0
110187,904144,1.0
213625,904144,1.0
213626,904144,1.0
213627,904144,1.0
213628,904144,1.0
213631,904144,1.0
213642,904144,1.0
500057,904144,1.0
538923,904144,1.0
545598,904144,1.0
582893,904144,1.0
911753,907969,1.0
916110,907969,1.0
919137,907969,1.0
26768,912509,1.0
213625,912509,1.0
213624,912509,1.0
151828,912509,1.0
48369,912509,1.0
30534,912509,1.0
26924,912509,1.0
26220,912509,1.0
921558,907969,1.0
13544,912509,1.0
933442,911753,1.0
918537,911753,1.0
916110,911753,1.0
606230,911753,1.0
538923,911753,1.0
213627,912509,1.0
213628,912509,1.0
213631,912509,1.0
213633,912509,1.0
213636,912509,1.0
500056,912509,1.0
545597,912509,1.0
587317,912509,1.0
606214,912509,1.0
606230,912509,1.0
908786,912509,1.0
1325,915640,1.0
26002,915640,1.0
26768,915640,1.0
213627,915640,1.0
213629,915640,1.0
500056,915640,1.0
213631,911753,1.0
110187,911753,1.0
48375,911753,1.0
936693,907970,1.0
13544,907970,1.0
30534,907970,1.0
48369,907970,1.0
110187,907970,1.0
151821,907970,1.0
213625,907970,1.0
213629,907970,1.0
213631,907970,1.0
213636,907970,1.0
500057,907970,1.0
538923,907970,1.0
545598,907970,1.0
911753,907970,1.0
916110,907970,1.0
13544,908786,1.0
26924,911753,1.0
48369,908786,1.0
48375,908786,1.0
110187,908786,1.0
213627,908786,1.0
213628,908786,1.0
213629,908786,1.0
213631,908786,1.0
500057,908786,1.0
904144,908786,1.0
916110,908786,1.0
936693,908786,1.0
6032,911753,1.0
18568,911753,1.0
25032,911753,1.0
936693,213629,1.0
538923,213633,1.0
912509,213629,1.0
