item_id,store_id,seed,metric,window_size,step_size,threshold,percentile,enable_edges,enable_second_degree,ablate_z,rmse,mae,bias,composite_score,pocid,train_time,inference_time,best_epoch
13544,6269,907969,no_emb,30,1,,,,,baseline,44.78048252586689,34.213450129636946,-0.0401889439063524,30.95365103131927,0.631578947368421,7.1144,0.0752,31
13544,6269,907969,spearman,30,1,0.7,,True,False,True,42.953156743385776,31.717721191155757,-8.560069885080546,31.546026140751966,0.6052631578947368,7.738,0.6434,29
13544,6269,907969,spearman,30,1,0.7,,True,False,False,42.270067303494976,31.372865009395515,-6.197457827725052,30.527614361027627,0.618421052631579,7.7715,0.8169,29
13544,6269,5219788,no_emb,30,1,,,,,baseline,40.354105991360576,30.644113550778307,-11.450754320991583,30.700769963622758,0.631578947368421,6.9036,0.0755,15
13544,6269,5219788,spearman,30,1,0.7,,True,False,True,43.91723313666365,33.85573458437826,-7.370505715409915,32.26517664327886,0.6381578947368421,7.7315,0.4909,24
13544,6269,5219788,spearman,30,1,0.7,,True,False,False,36.15343437179115,27.81453083333821,-3.214460526854774,25.833965025943822,0.6118421052631579,6.505,1.0487,8
13544,6269,13451285,no_emb,30,1,,,,,baseline,38.46511798915997,29.7735018695589,-4.185719557301281,27.72236435129503,0.6052631578947368,6.4502,0.0703,11
13544,6269,13451285,spearman,30,1,0.7,,True,False,True,40.119535828407415,30.895477555546105,-12.937735748252058,31.018071240153247,0.6381578947368421,7.6516,0.6862,45
13544,6269,13451285,spearman,30,1,0.7,,True,False,False,39.93269350395748,30.488810279595302,-8.541944972050736,29.72403556489025,0.5723684210526315,7.1723,0.7302,16
13544,6269,23616558,no_emb,30,1,,,,,baseline,37.97251923049258,29.54228560465808,-8.984709948642191,28.618008503571357,0.6052631578947368,7.0797,0.0791,13
13544,6269,23616558,spearman,30,1,0.7,,True,False,True,42.669287076544805,32.666098480861564,-6.524660661280934,31.132333323808027,0.6513157894736842,7.4107,0.77,28
13544,6269,23616558,spearman,30,1,0.7,,True,False,False,36.33912763946799,28.414189153344804,-4.715679703876863,26.45203103403941,0.6381578947368421,6.4004,0.9218,8
13544,6269,618626816,no_emb,30,1,,,,,baseline,48.94314938298353,39.0972260282028,2.323796093902167,34.826830222018,0.5986842105263158,8.0162,0.1077,38
13544,6269,618626816,spearman,30,1,0.7,,True,False,True,40.60941469418787,30.64714428071493,-13.75831706627132,31.406072683840495,0.6447368421052632,7.0439,0.8789,12
13544,6269,618626816,spearman,30,1,0.7,,True,False,False,39.18804024205771,29.53305075234837,-10.231289061845516,29.535105074577327,0.6513157894736842,7.0619,1.2152,12
26076,6269,42,no_emb,30,1,,,,,baseline,12.878120727392668,9.96052157257994,4.553070775653217,10.067458450754623,0.4605263157894737,9.3451,0.0801,72
26076,6269,42,spearman,30,1,0.7,,True,False,True,13.543489193799752,10.403703432895387,6.156494871804528,10.911794173074854,0.4605263157894737,8.2753,0.9977,45
26076,6269,42,spearman,30,1,0.7,,True,False,False,12.637834362791375,9.708268696673557,3.893394894264882,9.719333079130296,0.4407894736842105,9.0283,0.9308,45
26076,6269,1000,no_emb,30,1,,,,,baseline,13.415103345383963,10.436857353092408,5.2902766132569,10.63933516427931,0.4736842105263157,12.8959,0.0867,144
26076,6269,1000,spearman,30,1,0.7,,True,False,True,14.460162890943652,11.2871059911216,6.985248381551964,11.798170038640217,0.4276315789473684,9.4788,0.7325,65
26076,6269,1000,spearman,30,1,0.7,,True,False,False,12.921826789918114,9.933102448623067,2.395337704703017,9.543023433290578,0.4473684210526316,8.9106,0.6875,66
26076,6269,26008,no_emb,30,1,,,,,baseline,15.144777307303222,12.099742511591684,8.464256383697776,12.713388377473976,0.4473684210526316,8.1342,0.0758,46
26076,6269,26008,spearman,30,1,0.7,,True,False,True,14.119055341546456,11.073288370094268,6.907230353141142,11.554657351582081,0.4276315789473684,6.8021,0.8249,33
26076,6269,26008,spearman,30,1,0.7,,True,False,False,13.628154193718933,10.653209827621192,5.547337555344782,10.86421394260096,0.4605263157894737,7.8119,1.1783,33
26076,6269,555555,no_emb,30,1,,,,,baseline,14.05480239180411,10.736818779953849,5.730813838139761,11.144309350425457,0.4473684210526316,9.0612,0.095,66
26076,6269,555555,spearman,30,1,0.7,,True,False,True,13.212639461760768,10.382984046599054,5.906903218356223,10.678791547119202,0.4539473684210526,7.6437,0.9191,20
26076,6269,555555,spearman,30,1,0.7,,True,False,False,12.790295304292307,9.83118483706627,3.4425226753833247,9.713574530258553,0.4276315789473684,8.6586,0.7522,51
26076,6269,213626,no_emb,30,1,,,,,baseline,13.376274928474672,10.594982512441335,6.577960928475934,10.981373324466652,0.4473684210526316,7.1355,0.0684,25
26076,6269,213626,spearman,30,1,0.7,,True,False,True,14.42143228530852,11.321221704381744,7.475949265793258,11.91000888519801,0.4276315789473684,7.722,1.0818,32
26076,6269,213626,spearman,30,1,0.7,,True,False,False,14.019099110005904,10.93683682104536,6.586774430487281,11.390452367886112,0.4276315789473684,8.8384,0.9399,32
26076,6269,907969,no_emb,30,1,,,,,baseline,13.160019265420592,10.252018815989976,4.969235602108872,10.385323237235008,0.4473684210526316,9.3735,0.0796,67
26076,6269,907969,spearman,30,1,0.7,,True,False,True,13.823952567888345,10.823197743398886,6.769110812397759,11.310053422893333,0.4144736842105263,8.0116,0.9687,40
26076,6269,907969,spearman,30,1,0.7,,True,False,False,13.42171723477794,10.370941994529144,4.490554622380562,10.426232771616396,0.4210526315789473,7.9911,0.8495,44
26076,6269,5219788,no_emb,30,1,,,,,baseline,13.248647230227984,10.321707357524655,5.597088763185965,10.604022645291646,0.4342105263157895,8.3362,0.0838,64
26076,6269,5219788,spearman,30,1,0.7,,True,False,True,14.929816086531806,11.78068401571972,7.926808415479909,12.39178115106581,0.4473684210526316,9.9843,0.7357,79
26076,6269,5219788,spearman,30,1,0.7,,True,False,False,12.796460497157524,9.89345506649294,2.918441485564888,9.601204386593219,0.4671052631578947,8.781,0.6816,52
26076,6269,13451285,no_emb,30,1,,,,,baseline,14.237326116093962,11.038915818277138,6.721146236106851,11.558678571642979,0.4276315789473684,10.2753,0.0776,79
26076,6269,13451285,spearman,30,1,0.7,,True,False,True,13.524644422987883,10.502326838428678,6.016908792791024,10.892131119298867,0.4539473684210526,7.3245,1.0485,26
26076,6269,13451285,spearman,30,1,0.7,,True,False,False,13.740524476297455,10.48558135488941,5.390562314540148,10.839298155506118,0.4671052631578947,9.9503,0.5859,72
26076,6269,23616558,no_emb,30,1,,,,,baseline,14.25330838763173,11.257547293369676,7.4997704147416,11.815983620843683,0.4539473684210526,8.2215,0.0801,36
26076,6269,23616558,spearman,30,1,0.7,,True,False,True,13.386899437167454,10.524373364068714,6.101865796140985,10.850009508636152,0.4539473684210526,7.3011,0.9967,28
26076,6269,23616558,spearman,30,1,0.7,,True,False,False,12.538258463995446,9.671243483578069,1.6330531530228316,9.095203391147948,0.4473684210526316,10.2434,0.8563,95
26076,6269,618626816,no_emb,30,1,,,,,baseline,13.814221069734495,10.830278242871264,6.609076278612895,11.266949165238287,0.4407894736842105,7.7501,0.0759,32
26076,6269,618626816,spearman,30,1,0.7,,True,False,True,14.193272972879946,11.221497012606632,7.58829622107004,11.79908479485914,0.4605263157894737,7.2638,1.3087,22
26076,6269,618626816,spearman,30,1,0.7,,True,False,False,13.82430514359834,10.87629279917946,6.955214597187401,11.370029420890885,0.4605263157894737,7.3571,1.1888,22
457,6269,42,no_emb,30,1,,,,,baseline,8.435377835460438,6.839232807552892,4.952480293128615,7.165617192900596,0.5131578947368421,8.4365,0.0778,53
457,6269,42,spearman,30,1,0.7,,True,False,True,10.967453845826451,8.958288277529814,7.506781594766901,9.599994390987405,0.506578947368421,9.9647,0.7612,85
457,6269,42,spearman,30,1,0.7,,True,False,False,11.036688851549687,9.035020453380604,7.197652259780691,9.576512604065167,0.4802631578947368,10.1353,0.8513,92
457,6269,1000,no_emb,30,1,,,,,baseline,9.910830812165097,8.178606141017738,6.23964024391147,8.55997700231485,0.4934210526315789,10.2959,0.0659,88
457,6269,1000,spearman,30,1,0.7,,True,False,True,11.199314405786325,9.269946507208685,6.966637800697213,9.658803279869637,0.5197368421052632,14.9429,0.6272,206
457,6269,1000,spearman,30,1,0.7,,True,False,False,8.804262447838097,7.056200059922108,3.555128073258922,7.054963257214306,0.5460526315789473,9.6917,0.7795,78
457,6269,26008,no_emb,30,1,,,,,baseline,8.589273588123408,6.956606093404535,4.344461995426541,7.119903816269473,0.5,8.7644,0.0806,57
457,6269,26008,spearman,30,1,0.7,,True,False,True,10.99423140499236,9.134419780565436,6.7320261305210245,9.463727180267796,0.506578947368421,11.9429,0.7158,131
457,6269,26008,spearman,30,1,0.7,,True,False,False,10.541597444515816,8.512356295938195,5.758621441139505,8.838543156527333,0.5131578947368421,9.5171,0.7524,98
457,6269,555555,no_emb,30,1,,,,,baseline,11.07795428905429,9.098124236623253,7.372580253147806,9.65665326696991,0.5131578947368421,10.5169,0.0808,133
457,6269,555555,spearman,30,1,0.7,,True,False,True,10.652746629612498,8.952067902518642,7.015947338753666,9.318377125124325,0.4934210526315789,10.2907,0.651,84
457,6269,555555,spearman,30,1,0.7,,True,False,False,9.988737529024856,8.374756371127624,5.662251270625716,8.503620674950763,0.5394736842105263,11.1,0.6208,83
457,6269,213626,no_emb,30,1,,,,,baseline,10.46522300109296,8.538870494812727,6.48473153816037,8.988512008789755,0.4671052631578947,10.5468,0.0763,86
457,6269,213626,spearman,30,1,0.7,,True,False,True,9.858436997723114,8.097836533792657,5.090247069114174,8.226239399588266,0.4605263157894737,9.9917,0.7849,81
457,6269,213626,spearman,30,1,0.7,,True,False,False,9.944406627596384,8.045946548991148,4.856044740044798,8.19770113605718,0.4934210526315789,9.161,0.6969,56
457,6269,907969,no_emb,30,1,,,,,baseline,9.02016740757323,7.479161941172445,5.2376234537002695,7.6892800525047935,0.4934210526315789,10.4463,0.093,82
457,6269,907969,spearman,30,1,0.7,,True,False,True,10.252459033452409,8.34218730777502,6.67713778397811,8.881060789664486,0.5,9.7764,0.7217,79
457,6269,907969,spearman,30,1,0.7,,True,False,False,10.136192504351628,8.281699012989312,6.596526552551712,8.78765264356107,0.5,8.661,0.6671,62
457,6269,5219788,no_emb,30,1,,,,,baseline,8.428389152651693,6.923252562511395,3.4801483557261284,6.815044805885227,0.4671052631578947,8.2041,0.0828,50
457,6269,5219788,spearman,30,1,0.7,,True,False,True,9.356016093408934,7.582619642217954,5.030778690490847,7.831357629881667,0.5131578947368421,9.0389,0.7061,65
457,6269,5219788,spearman,30,1,0.7,,True,False,False,9.605427299971678,7.821030503881523,5.892811446700221,8.231174137631275,0.5197368421052632,10.0284,0.6234,75
457,6269,13451285,no_emb,30,1,,,,,baseline,10.883817673831734,8.862319943415963,6.520032611304249,9.287496975595921,0.5657894736842105,16.56,0.0752,221
457,6269,13451285,spearman,30,1,0.7,,True,False,True,9.192308069013796,7.213912063941749,4.987225454239772,7.6464384140522785,0.5,9.3033,0.5864,70
457,6269,13451285,spearman,30,1,0.7,,True,False,False,11.71365420015018,9.489223776768672,8.24997573557121,10.29162697816006,0.5131578947368421,13.3957,0.7787,162
457,6269,23616558,no_emb,30,1,,,,,baseline,10.66174556260079,8.84492059604697,7.572360970639909,9.435193172972115,0.5,9.3974,0.0863,67
457,6269,23616558,spearman,30,1,0.7,,True,False,True,9.891120310639089,8.067111216041145,5.451573290180391,8.325231281874927,0.5131578947368421,11.4674,0.6572,119
457,6269,23616558,spearman,30,1,0.7,,True,False,False,10.399518533283716,8.326962338590057,5.55707582204414,8.670768806800407,0.506578947368421,11.6365,0.8062,121
457,6269,618626816,no_emb,30,1,,,,,baseline,9.115484386223065,7.440065529319196,5.413390635762339,7.771106234381916,0.5263157894736842,7.3605,0.0823,38
457,6269,618626816,spearman,30,1,0.7,,True,False,True,9.6096355994853,7.866199319987418,5.410419611820306,8.12397253269458,0.4671052631578947,8.0807,0.7748,61
457,6269,618626816,spearman,30,1,0.7,,True,False,False,9.830006387296306,7.900526882191889,5.340659423980838,8.225299770191334,0.5131578947368421,8.9004,0.7148,61
936693,6269,42,no_emb,30,1,,,,,baseline,6.296464985778526,5.008637766238132,0.825277661770777,4.60671134989149,0.4736842105263157,9.1794,0.0865,50
936693,6269,42,spearman,30,1,0.7,,True,False,True,6.69680711099665,5.252426228930358,0.8956523679342925,4.885423204714487,0.4802631578947368,13.0724,0.5051,153
936693,6269,42,spearman,30,1,0.7,,True,False,False,6.218165318796674,4.962455299701176,0.7283940211522812,4.531794989611702,0.4736842105263157,9.9648,0.738,66
936693,6269,1000,no_emb,30,1,,,,,baseline,6.735339378594995,5.460606806661958,2.0609516484382886,5.248059303072559,0.4868421052631579,13.1116,0.0751,159
936693,6269,1000,spearman,30,1,0.7,,True,False,True,6.618222219322613,5.336918290144478,2.32947550684798,5.225709558909421,0.4802631578947368,9.0872,0.9693,54
936693,6269,1000,spearman,30,1,0.7,,True,False,False,6.015699326350141,4.803677338205911,0.1552546384677388,4.247582657343483,0.4802631578947368,8.4001,0.5281,44
936693,6269,26008,no_emb,30,1,,,,,baseline,6.630770053588483,5.231211687322536,1.2827691467953664,4.943880235323717,0.4934210526315789,13.1351,0.084,155
936693,6269,26008,spearman,30,1,0.7,,True,False,True,6.2813590902217005,4.946505351199044,0.9260910280000152,4.608828639910615,0.4671052631578947,7.9687,0.6738,42
936693,6269,26008,spearman,30,1,0.7,,True,False,False,6.471296885888289,5.004940886026114,0.6511121102992226,4.649661692025479,0.5,12.2335,0.5057,139
936693,6269,555555,no_emb,30,1,,,,,baseline,6.391210425158916,5.053771269477271,1.3172522183337243,4.788361084532207,0.4802631578947368,8.6547,0.0763,50
936693,6269,555555,spearman,30,1,0.7,,True,False,True,6.590742322792085,5.230054214937625,1.8584113070875208,5.067487541902329,0.4671052631578947,9.9297,0.4916,73
936693,6269,555555,spearman,30,1,0.7,,True,False,False,6.774372472151655,5.414635959598753,1.2413138114159403,5.0511736788295005,0.4802631578947368,12.4907,0.734,141
