product_id,store_id,seed,metric,threshold,n_nodes,n_edges,rmse,mae,bias,r2_score,pocid,best_epoch,train_time_s
26008,6269,42,spearman,0.65,3,2,49.28382602652213,26.498863220214844,-17.629515030804804,0.2401842474937439,0.6513157894736842,10,6.38
907969,6269,42,spearman,0.6,7,7,37.80144950872833,27.601383209228516,-7.938185922460618,0.5353480577468872,0.743421052631579,186,13.3
907969,6269,42,spearman,0.62,5,5,39.28613950028607,28.577043533325195,-9.36317907595167,0.4981319308280945,0.7302631578947368,195,13.88
907969,6269,42,spearman,0.65,3,2,38.39248666375444,28.2946720123291,-8.655818315892438,0.5207045078277588,0.7171052631578947,186,13.46
907967,6269,42,spearman,0.6,7,6,20.45267811892438,14.338769912719727,-0.05354406319412531,0.14651650190353394,0.6118421052631579,4,6.05
907967,6269,42,spearman,0.62,5,4,20.452675880764204,14.338769912719727,-0.05354047289081648,0.1465166211128235,0.6118421052631579,4,6.42
907967,6269,42,spearman,0.65,4,3,20.452675880764204,14.338769912719727,-0.05353905172909007,0.14651668071746826,0.6118421052631579,4,6.09
213626,6269,42,spearman,0.6,7,6,22.394811628826552,14.861495971679688,3.729119980257321,0.09986549615859985,0.631578947368421,67,8.69
213626,6269,42,spearman,0.62,5,4,22.402301179667486,14.987143516540527,3.8779153262867645,0.0992632508277893,0.625,67,8.71
213626,6269,42,spearman,0.65,4,3,22.204759874495025,15.121039390563965,4.751985998714671,0.11507844924926758,0.6513157894736842,62,9.03
