Node,Mean_Degree,Median_Degree,Std_Degree,Max_Degree,Zero_Degree_Windows,Mean_Betweenness,Mean_Eigenvector,Degree_Stability
922307,2.2039800995024876,1.0,3.0074287370156454,33,178,0.000773398835661205,0.005743061310981217,0.7328428913200575
962444,2.583747927031509,2.0,2.5335299510257343,18,104,0.0012595104951670336,0.005721254832153647,1.0198173216038877
151825,3.0579964850615116,2.0,3.2045349335878965,27,77,0.001600891326167982,0.005710482385270848,0.9542685618196948
7799,2.08955223880597,1.0,2.4948252178265475,17,182,0.0008325857243948126,0.0057067397988767275,0.8375512033321173
44470,2.8855721393034828,2.0,3.3256389995872007,39,98,0.0014758831425902585,0.005668724159764664,0.8676718858970556
150199,1.8822553897180763,1.0,2.4361294276322347,19,237,0.0006507172074828765,0.005667936774413776,0.7726386135244743
298221,2.746268656716418,2.0,2.807883684710197,18,122,0.0012514967937847532,0.005615944162672514,0.9780529340090953
535959,2.326699834162521,2.0,2.528327121035138,16,155,0.0009155515655556918,0.005614357627262511,0.9202490501780618
8610,2.2238805970149254,1.0,2.8786329326954796,25,199,0.0006926297617443482,0.005613908802556975,0.7725447889893543
213642,2.557213930348259,2.0,2.777777282740482,23,126,0.0013238543150958764,0.005609293874063799,0.9205938648496467
113463,2.1359867330016584,1.0,2.687989714075353,24,190,0.001135656075943804,0.005596574255823199,0.7946380060298548
297740,2.33167495854063,2.0,2.277463679133201,16,128,0.0008826699579049322,0.005594737469288846,1.023798860950199
501490,2.232172470978441,1.0,2.43505897172794,17,144,0.001254485341543699,0.005583686479822287,0.9166773084848095
26164,2.8341625207296848,2.0,2.8822716108297817,23,91,0.0012326043417818914,0.005572736859628734,0.9833052086516126
205279,2.451077943615257,2.0,2.890857894936639,28,121,0.0012355021119391416,0.005571519786884046,0.8478692325956247
944460,1.734660033167496,1.0,2.1761353016885363,21,188,0.0007248645469346987,0.005540138187764189,0.797125096298267
116,2.27363184079602,1.0,2.8569692352314773,23,172,0.0011074321298660127,0.005519783551435948,0.795816718847033
51317,2.48424543946932,1.0,3.8793154607360054,38,185,0.0009085041602647836,0.005513183241421668,0.6403807735682987
151833,2.7512437810945274,2.0,2.704546435448922,19,109,0.0013095334598376039,0.0055112795391235436,1.0172624778812782
18611,2.8623548922056385,2.0,3.80746745026546,38,115,0.001576478082700802,0.005508717162241988,0.7517719880405525
19533,2.3499170812603647,2.0,2.221248022890315,15,118,0.001166242311626263,0.005499939398580376,1.057921707898949
154547,2.227197346600332,1.0,3.389055148346452,38,177,0.0009494585559155805,0.005498219614300133,0.6571715942630955
803313,2.140961857379768,1.0,2.708324567034483,22,182,0.000829692127526224,0.005497440646460008,0.7905086334012399
255,2.625207296849088,2.0,3.316699004589443,28,139,0.0011688272737263956,0.005496078389920776,0.7915096842130255
